,visit_id,detector_id,band,day_obs,x,y,fwhm,dg_chi2,gh_chi2,moffat_chi2,shapelet_chi2,dg_a1,dg_sigma1,dg_a2,dg_sigma2,gh_A,gh_x0,gh_y0,gh_sigma_x,gh_sigma_y,gh_h3x,gh_h4x,gh_h3y,gh_h4y,gh_B,moffat_A,moffat_x0,moffat_y0,moffat_alpha,moffat_beta,moffat_B,sh_c0_0,sh_c0_1,sh_c0_2,sh_c0_3,sh_c0_4,sh_c0_5,sh_c0_6,sh_c1_0,sh_c1_1,sh_c1_2,sh_c1_3,sh_c1_4,sh_c1_5,sh_c2_0,sh_c2_1,sh_c2_2,sh_c2_3,sh_c2_4,sh_c3_0,sh_c3_1,sh_c3_2,sh_c3_3,sh_c4_0,sh_c4_1,sh_c4_2,sh_c5_0,sh_c5_1,sh_c6_0
0,2026040700113,4,g,20260407,251.562,110.746,7.7668,1.2e-07,7e-08,9e-08,1.1e-07,0.011155,2.5517,0.002901,5.4086,0.012719,19.549,19.743,3.0612,3.4664,-0.002968,0.001926,-0.009163,0.00346,5.781e-05,0.014366,19.602,19.795,5.7946,2.4563,-1.343e-05,0.067102,-0.001042,0.019136,-0.001099,0.009894,-0.002357,0.005509,-0.004563,0.001798,-0.003516,0.002313,-0.003088,0.001923,0.016581,-0.000414,0.006969,-0.00188,0.004598,-0.002244,0.001046,-0.002209,0.001295,0.006711,-0.000897,0.003672,-0.001363,0.000591,0.003402
1,2026040700113,4,g,20260407,1416.049,207.077,7.8407,8e-08,6e-08,8e-08,9e-08,0.010385,2.632,0.003038,5.2897,0.012285,20.023,20.054,3.1092,3.5492,-0.003613,0.001741,-0.009955,0.003461,5.655e-05,0.013765,20.078,20.115,6.1718,2.6087,-5.89e-06,0.065535,0.003279,0.020345,-0.000426,0.010729,-0.001434,0.006582,0.002718,0.001642,-0.001898,0.002318,-0.002093,0.001756,0.017206,0.000398,0.006905,-0.00098,0.004675,6.1e-05,0.001234,-0.001252,0.001363,0.00656,-0.000526,0.003345,-0.000364,0.000842,0.003487
2,2026040700113,4,g,20260407,1302.61,261.049,7.8372,9e-08,5e-08,7e-08,9e-08,0.010676,2.5721,0.003071,5.3056,0.012509,19.593,20.031,3.0725,3.5163,-0.003422,0.001943,-0.009262,0.003431,5.715e-05,0.014045,19.644,20.087,6.001,2.5421,-8.85e-06,0.066246,0.003118,0.019879,-9.7e-05,0.010411,-0.001454,0.00589,-0.003908,0.00175,-0.003591,0.002054,-0.002585,0.001978,0.016656,0.000158,0.006945,-0.001147,0.004525,-0.002156,0.001028,-0.001889,0.001405,0.006532,-0.000769,0.003564,-0.001527,0.000695,0.003556
3,2026040700113,4,g,20260407,3039.081,306.783,7.8534,8e-08,6e-08,7e-08,9e-08,0.010746,2.5644,0.003081,5.3056,0.012524,20.065,19.769,3.0891,3.4908,-0.003461,0.001914,-0.009988,0.003718,5.598e-05,0.014136,20.12,19.828,5.8397,2.4519,-1.453e-05,0.066509,-0.000645,0.019427,-0.002055,0.010553,-0.002608,0.006469,0.00348,0.00181,-0.001652,0.00225,-0.00196,0.002105,0.017078,-0.000123,0.006619,-0.001323,0.004246,0.000451,0.001008,-0.000891,0.001356,0.006554,-0.000664,0.003465,-0.000255,0.000727,0.003399
4,2026040700113,4,g,20260407,942.462,353.177,7.821,1.3e-07,7e-08,8e-08,9e-08,0.010071,2.6497,0.003168,5.2093,0.012441,20.447,20.162,3.0751,3.5178,-0.002982,0.001848,-0.009312,0.003448,5.987e-05,0.013992,20.493,20.215,5.9629,2.5189,-7.57e-06,0.065097,0.004011,0.020397,8.5e-05,0.011259,-0.001824,0.006434,0.008423,0.003051,0.000196,0.002608,-0.001466,0.002048,0.017373,0.000888,0.007535,-0.001027,0.00419,0.002702,0.001691,-0.000562,0.00113,0.007071,-0.000234,0.003146,0.000662,0.000933,0.002973
5,2026040700113,13,g,20260407,974.164,47.672,7.5895,1e-07,7e-08,8e-08,1.1e-07,0.011588,2.5443,0.002608,5.6266,0.01283,20.139,19.646,3.064,3.3465,-0.003864,0.002075,-0.010792,0.004047,6.702e-05,0.014641,20.199,19.711,5.4617,2.3277,-6.76e-06,0.067203,-0.002374,0.017965,-0.003035,0.009464,-0.002947,0.005798,0.004717,0.000633,-0.001539,0.0016,-0.001797,0.001776,0.016948,-0.001111,0.005971,-0.001499,0.004152,0.000998,0.000896,-0.001118,0.001203,0.006502,-0.000458,0.003315,-0.000304,0.00052,0.003563
6,2026040700113,13,g,20260407,494.651,149.571,7.5857,1.2e-07,7e-08,8e-08,1.2e-07,0.011783,2.4932,0.002614,5.6696,0.012863,19.628,19.547,3.0507,3.3406,-0.003988,0.002141,-0.010996,0.004098,6.824e-05,0.014745,19.69,19.613,5.3321,2.2657,-9.26e-06,0.067322,-0.003796,0.017359,-0.003093,0.008981,-0.002906,0.00555,-0.003127,0.001085,-0.003201,0.00186,-0.002575,0.002017,0.01623,-0.000889,0.006291,-0.001776,0.00407,-0.001933,0.000853,-0.001812,0.001216,0.006564,-0.000814,0.003259,-0.001224,0.000521,0.003514
7,2026040700113,13,g,20260407,3759.358,200.998,7.5464,1.4e-07,1e-07,1.1e-07,1.3e-07,0.011176,2.5194,0.002739,5.6017,0.012608,20.328,19.965,3.0892,3.3012,-0.003235,0.002147,-0.011339,0.004525,7.584e-05,0.014613,20.387,20.036,5.1041,2.1437,-7.77e-06,0.065844,0.002329,0.017215,-0.00146,0.009133,-0.002366,0.006141,0.007148,0.001949,-0.000944,0.00167,-0.001997,0.001766,0.017073,-0.000371,0.006314,-0.001597,0.004085,0.002481,0.00135,-0.001419,0.000951,0.007058,-0.000529,0.003088,0.000185,0.001088,0.003621
8,2026040700113,13,g,20260407,3528.449,280.973,7.5503,1.3e-07,8e-08,9e-08,1.1e-07,0.01123,2.5655,0.002633,5.643,0.012724,20.416,19.939,3.0635,3.3329,-0.003783,0.002147,-0.011332,0.004339,7.147e-05,0.0147,20.483,20.01,5.1817,2.1847,-9.95e-06,0.066104,0.001885,0.017995,-0.001836,0.009249,-0.002352,0.005928,0.00888,0.001531,-0.000998,0.001901,-0.001596,0.002022,0.017339,-0.00012,0.006019,-0.001403,0.004059,0.002358,0.001341,-0.000476,0.001197,0.006909,-0.000337,0.003319,0.000553,0.000477,0.003501
9,2026040700113,13,g,20260407,3730.673,550.89,7.5383,1.1e-07,8e-08,1e-07,1.3e-07,0.01207,2.4868,0.002563,5.7267,0.01301,19.642,19.86,3.0356,3.3231,-0.003759,0.0022,-0.011388,0.004334,6.588e-05,0.015054,19.707,19.933,5.1237,2.1729,-1.662e-05,0.06816,0.001043,0.017448,-0.001784,0.008697,-0.00216,0.005355,-0.003223,0.00079,-0.002964,0.001783,-0.002662,0.001811,0.016174,-0.000235,0.00629,-0.00141,0.004121,-0.001682,0.000781,-0.001759,0.001329,0.006493,-0.00061,0.003386,-0.001377,0.000711,0.003462
