,visit_id,detector_id,band,day_obs,x,y,fwhm,dg_chi2,gh_chi2,moffat_chi2,shapelet_chi2,dg_a1,dg_sigma1,dg_a2,dg_sigma2,gh_A,gh_x0,gh_y0,gh_sigma_x,gh_sigma_y,gh_h3x,gh_h4x,gh_h3y,gh_h4y,gh_B,moffat_A,moffat_x0,moffat_y0,moffat_alpha,moffat_beta,moffat_B,sh_c0_0,sh_c0_1,sh_c0_2,sh_c0_3,sh_c0_4,sh_c0_5,sh_c0_6,sh_c1_0,sh_c1_1,sh_c1_2,sh_c1_3,sh_c1_4,sh_c1_5,sh_c2_0,sh_c2_1,sh_c2_2,sh_c2_3,sh_c2_4,sh_c3_0,sh_c3_1,sh_c3_2,sh_c3_3,sh_c4_0,sh_c4_1,sh_c4_2,sh_c5_0,sh_c5_1,sh_c6_0
10,2024110800280,0,i,20241108,2787.892,2866.155,5.227,8.5e-07,5.9e-07,7.2e-07,4e-08,0.020777,1.6546,0.010207,3.0927,0.029165,11.827,12.137,2.1408,2.1168,0.014489,0.002854,0.004418,0.001232,0.00020618,0.032346,11.782,12.105,3.9201,2.4922,-3.95e-05,0.110889,0.005019,0.005456,0.00365,0.003964,-0.001027,0.0021,-0.007032,0.008973,0.010691,0.001111,-0.001812,-0.000327,0.008378,0.006832,0.009072,0.000561,0.00046,0.011482,0.001702,-0.000724,0.000811,0.005929,-6.5e-05,0.00084,-0.003254,-0.000548,0.000994
11,2024110800280,0,i,20241108,2194.099,71.369,5.3078,1.16e-06,8e-07,9.4e-07,1.3e-07,0.020627,1.612,0.011002,3.0344,0.028894,12.078,12.346,2.2705,2.1038,0.011294,0.001365,0.007025,0.000925,0.00017441,0.030981,12.036,12.317,5.1335,3.5945,2.521e-05,0.111979,0.011764,0.003949,0.005476,0.004738,-0.00176,0.001566,-1.2e-05,0.008468,0.012064,0.005225,-0.000976,-0.002044,0.009127,0.008775,0.009581,0.002772,0.00096,0.008835,0.004443,0.000778,0.001049,0.0054,0.000312,0.001007,0.000195,-0.001294,0.001115
12,2024110800280,0,i,20241108,2712.436,2533.314,5.2487,1.11e-06,6.5e-07,7.8e-07,6e-08,0.021725,1.3928,0.012139,3.0402,0.029174,12.378,12.292,2.1448,2.1279,0.014702,0.002553,0.004903,0.001046,0.00020367,0.032144,12.335,12.26,4.0759,2.6159,-3.282e-05,0.110392,0.009037,0.003985,0.003717,0.00458,-0.000893,0.001257,0.012328,0.007575,0.009671,0.002895,-0.000985,-0.000458,0.005039,0.007885,0.012106,0.002437,-5.2e-05,0.010469,0.004517,0.002975,0.000913,0.010437,0.001747,0.001583,8.3e-05,-0.000201,-0.000484
13,2024110800280,0,i,20241108,3446.294,3539.111,5.0649,3.82e-06,3.75e-06,3.73e-06,3.02e-06,0.028787,1.5547,0.008658,3.3028,0.033703,12.217,12.058,2.0781,1.984,0.009183,0.002568,0.005395,0.001742,0.00013082,0.038135,12.168,12.019,3.357,2.156,-0.00020238,0.121802,0.001594,-0.001131,0.003961,0.005138,-0.002857,0.004643,0.008767,0.009703,0.007878,0.004976,-8.1e-05,0.002749,0.003823,0.008476,0.011884,-0.001226,0.000408,0.007324,0.004289,0.000143,0.000283,0.008405,0.00066,-0.000939,-0.00212,-0.000508,0.000665
14,2024110800280,0,i,20241108,1928.591,3386.735,5.2953,1.31e-06,6.4e-07,8.7e-07,8e-08,0.02572,2.2528,0.001118,5.1084,0.028445,11.556,11.733,2.214,2.1387,0.016924,0.002255,0.003696,0.000929,0.00019418,0.030732,11.518,11.705,4.5942,3.0102,-5.83e-06,0.108845,-0.008672,0.008263,0.002099,0.001978,-0.000689,0.00246,-0.014451,0.013066,0.008946,-0.00257,-0.002241,0.000913,0.016053,0.005695,0.004815,-0.001069,0.000965,0.011656,-0.000814,-0.001289,0.000533,0.001787,-0.000292,0.001423,-0.003326,0.000285,0.002462
15,2024110800276,0,i,20241108,2920.115,819.085,4.9338,8.9e-07,7.6e-07,8.6e-07,7e-08,0.025833,1.6406,0.00865,3.1348,0.031898,12.104,12.078,2.1415,1.97,0.008827,0.00145,0.006852,0.001549,0.00019847,0.034493,12.069,12.049,4.5059,3.2457,4.09e-05,0.117268,0.002659,-0.000676,0.0052,0.004992,-0.002318,0.001602,0.003438,0.013568,0.008758,8.1e-05,-0.002373,0.000118,0.006407,0.009484,0.008091,-0.000537,0.000122,0.00754,0.002423,-0.000212,0.000287,0.005348,-0.000882,0.000761,-0.002028,-0.000857,0.000633
16,2024110800276,0,i,20241108,1851.907,3020.862,4.8969,1.06e-06,7.3e-07,9.2e-07,1e-07,0.027369,1.7927,0.005946,3.3913,0.032643,11.857,11.849,2.0741,1.9594,0.015204,0.002372,0.002494,0.001466,0.00020489,0.035687,11.813,11.82,3.9682,2.7372,-7.09e-06,0.117725,-0.005963,0.000169,0.002423,0.003893,-0.000803,0.002283,-0.00417,0.012758,0.007801,-0.00191,-0.002804,0.000991,0.007981,0.008422,0.006387,-0.001736,0.000184,0.012748,0.000577,-0.001929,0.00067,0.004671,-0.001661,0.001142,-0.005252,0.000448,0.001344
17,2024110800276,0,i,20241108,1301.839,379.245,4.9806,1.83e-06,1.41e-06,1.55e-06,6e-07,0.025812,1.8373,0.005249,3.6044,0.030203,11.812,12.268,2.2131,1.9651,0.011486,0.001122,0.004283,0.000999,0.00024594,0.032811,11.758,12.223,4.3224,2.9596,4.159e-05,0.112216,0.010734,0.000462,0.00258,0.004215,-0.001561,0.002565,-0.008033,0.010943,0.012308,0.000104,-0.003802,0.000466,0.010987,0.010282,0.008624,-0.000646,-0.001363,0.008825,0.00347,-0.001758,-0.000487,0.003419,-0.001904,0.002456,-0.003936,-0.000229,-0.000372
18,2024110800276,0,i,20241108,2369.624,303.677,4.9331,1.58e-06,7.9e-07,9.1e-07,3e-08,0.028858,2.0122,0.002226,4.3397,0.032501,11.587,11.654,2.1264,1.9199,0.009603,0.002064,0.007611,0.001672,0.00020633,0.03584,11.544,11.617,3.9087,2.7044,4.61e-06,0.115943,-0.012014,0.00155,0.006601,0.002307,-0.002577,0.003553,-0.013171,0.018685,0.007578,-0.00391,-0.002196,0.001589,0.011301,0.006827,0.004601,-0.000899,0.001151,0.007298,-0.00098,-0.000874,0.001514,0.002677,-0.001186,0.001967,-0.003629,0.000514,0.001673
19,2024110800276,0,i,20241108,3603.804,1986.849,4.8888,1.21e-06,9.8e-07,1.01e-06,4.8e-07,0.028758,1.8598,0.00433,3.6923,0.032384,11.772,11.844,2.0819,2.0154,0.006751,0.001466,0.006625,0.002017,0.00017691,0.035214,11.746,11.819,4.3617,3.1082,1.313e-05,0.118283,-0.005621,0.002247,0.005606,0.004261,-0.001714,0.00447,-0.008112,0.012512,0.004278,-0.00282,-0.002725,-0.000555,0.006345,0.007058,0.006239,0.000314,0.002587,0.005643,-0.001326,-0.002812,0.001195,0.002861,0.000331,0.001896,-0.004073,-0.001333,0.000597
